reqid,fret,serialisation
UC6_R_2,((G (((! parallelGuidanceRequested) & (X parallelGuidanceRequested)) -> (X (F (checkIMUConnection -> ParallelGuidanceMode))))) & (parallelGuidanceRequested -> (F (checkIMUConnection -> ParallelGuidanceMode)))),"['&', ['G', ['->', ['&', ['!', 'parallelGuidanceRequested'], ['X', 'parallelGuidanceRequested']], ['X', ['F', ['->', 'checkIMUConnection', 'ParallelGuidanceMode']]]]], ['->', 'parallelGuidanceRequested', ['F', ['->', 'checkIMUConnection', 'ParallelGuidanceMode']]]]"
UC6_R_20,((G (((! IMUFail) & (X IMUFail)) -> (X (F stop)))) & (IMUFail -> (F stop))),"['&', ['G', ['->', ['&', ['!', 'IMUFail'], ['X', 'IMUFail']], ['X', ['F', 'stop']]]], ['->', 'IMUFail', ['F', 'stop']]]"
UC6_R_14,((G (((! manualModeRequestd) & (X manualModeRequestd)) -> (X (F (stop -> ManualMode))))) & (manualModeRequestd -> (F (stop -> ManualMode)))),"['&', ['G', ['->', ['&', ['!', 'manualModeRequestd'], ['X', 'manualModeRequestd']], ['X', ['F', ['->', 'stop', 'ManualMode']]]]], ['->', 'manualModeRequestd', ['F', ['->', 'stop', 'ManualMode']]]]"
UC6_R_21,,
UC6_R_8	,"(F[0,200] controlCycle)","['F', '[0,200]', 'controlCycle']"
UC6_R_4,,
UC6_R_5,"(F[0,9] drivingCycleComplete)","['F', '[0,9]', 'drivingCycleComplete']"
UC6_R_16,((G (((! unwantedManualModeRequested) & (X unwantedManualModeRequested)) -> (X (F dropRequest)))) & (unwantedManualModeRequested -> (F dropRequest))),"['&', ['G', ['->', ['&', ['!', 'unwantedManualModeRequested'], ['X', 'unwantedManualModeRequested']], ['X', ['F', 'dropRequest']]]], ['->', 'unwantedManualModeRequested', ['F', 'dropRequest']]]"
UC6_R_9,((G (((! rcDisconnectDetected) & (X rcDisconnectDetected)) -> (X (F rcDisconnectedWarning)))) & (rcDisconnectDetected -> (F rcDisconnectedWarning))),"['&', ['G', ['->', ['&', ['!', 'rcDisconnectDetected'], ['X', 'rcDisconnectDetected']], ['X', ['F', 'rcDisconnectedWarning']]]], ['->', 'rcDisconnectDetected', ['F', 'rcDisconnectedWarning']]]"
UC6_R_10,,
UC6_R_3,((G (((! unrecoverablError) & (X unrecoverablError)) -> (X (F stop)))) & (unrecoverablError -> (F stop))),"['&', ['G', ['->', ['&', ['!', 'unrecoverablError'], ['X', 'unrecoverablError']], ['X', ['F', 'stop']]]], ['->', 'unrecoverablError', ['F', 'stop']]]"
UC6_R_6,((G (((! unwantedParallelGuidanceRequest) & (X unwantedParallelGuidanceRequest)) -> (X (F dropRequest)))) & (unwantedParallelGuidanceRequest -> (F dropRequest))),"['&', ['G', ['->', ['&', ['!', 'unwantedParallelGuidanceRequest'], ['X', 'unwantedParallelGuidanceRequest']], ['X', ['F', 'dropRequest']]]], ['->', 'unwantedParallelGuidanceRequest', ['F', 'dropRequest']]]"
UC6_R_12,(G ((rcConnected | ((! rcConnected) & rcConnectRequest)) -> rcConnected)),"['G', ['->', ['|', 'rcConnected', ['&', ['!', 'rcConnected'], 'rcConnectRequest']], 'rcConnected']]"
UC6_R_13,,
UC6_R_7,,
UC6_R_17,,
UC6_R_18,,
UC6_R_11,((G (((! commRequest) & (X commRequest)) -> (X (F (authentication -> communication))))) & (commRequest -> (F (authentication -> communication)))),"['&', ['G', ['->', ['&', ['!', 'commRequest'], ['X', 'commRequest']], ['X', ['F', ['->', 'authentication', 'communication']]]]], ['->', 'commRequest', ['F', ['->', 'authentication', 'communication']]]]"
UC6_R_1	,((G (((! parallelGuidanceRequested) & (X parallelGuidanceRequested)) -> (X (F (checkGPS -> parallelGuidanceMode))))) & (parallelGuidanceRequested -> (F (checkGPS -> parallelGuidanceMode)))),"['&', ['G', ['->', ['&', ['!', 'parallelGuidanceRequested'], ['X', 'parallelGuidanceRequested']], ['X', ['F', ['->', 'checkGPS', 'parallelGuidanceMode']]]]], ['->', 'parallelGuidanceRequested', ['F', ['->', 'checkGPS', 'parallelGuidanceMode']]]]"
