reqid,fret,serialisation
R.031,(LAST V (calculateTaskCompletionProbability & explain)),"['V', 'LAST', ['&', 'calculateTaskCompletionProbability', 'explain']]"
R.043,((LAST V (((! planDeviation) & ((! LAST) & (X planDeviation))) -> (X returnCurrentLocation))) & (planDeviation -> returnCurrentLocation)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'planDeviation'], ['&', ['!', 'LAST'], ['X', 'planDeviation']]], ['X', 'returnCurrentLocation']]], ['->', 'planDeviation', 'returnCurrentLocation']]"
R.032,((LAST V (((! (probabilityTaskCompletion < previousProbabilityTaskCompletion)) & ((! LAST) & (X (probabilityTaskCompletion < previousProbabilityTaskCompletion)))) -> (X explainAlternatives))) & ((probabilityTaskCompletion < previousProbabilityTaskCompletion) -> explainAlternatives)),"['&', ['V', 'LAST', ['->', ['&', ['!', ['<', 'probabilityTaskCompletion', 'previousProbabilityTaskCompletion']], ['&', ['!', 'LAST'], ['X', ['<', 'probabilityTaskCompletion', 'previousProbabilityTaskCompletion']]]], ['X', 'explainAlternatives']]], ['->', ['<', 'probabilityTaskCompletion', 'previousProbabilityTaskCompletion'], 'explainAlternatives']]"
R.035,((explain | LAST) V (! go)),"['V', ['|', 'explain', 'LAST'], ['!', 'go']]"
R.015,((LAST V (((! timeCritical) & ((! LAST) & (X timeCritical))) -> (X concise))) & (timeCritical -> concise)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'timeCritical'], ['&', ['!', 'LAST'], ['X', 'timeCritical']]], ['X', 'concise']]], ['->', 'timeCritical', 'concise']]"
R.012,(LAST V Factual),"['V', 'LAST', 'Factual']"
R.016,(LAST V (trainingMode -> detailed)),"['V', 'LAST', ['->', 'trainingMode', 'detailed']]"
R.044,(LAST V ((((explainCurrentPath -> returnCurrentPath) & (explainIntendedPath -> returnIntendedPath)) & followPath) & noDeviations)),"['V', 'LAST', ['&', ['&', ['&', ['->', 'explainCurrentPath', 'returnCurrentPath'], ['->', 'explainIntendedPath', 'returnIntendedPath']], 'followPath'], 'noDeviations']]"
R.033,((LAST V (((! taskAbort) & ((! LAST) & (X taskAbort))) -> (X explainFailSafe))) & (taskAbort -> explainFailSafe)),"['&', ['V', 'LAST', ['->', ['&', ['!', 'taskAbort'], ['&', ['!', 'LAST'], ['X', 'taskAbort']]], ['X', 'explainFailSafe']]], ['->', 'taskAbort', 'explainFailSafe']]"
R.009,((LAST V ((! ((((! manipulationMode) & (! LAST)) & (X manipulationMode)) & (! LAST))) | (X (((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) V (((! objectPlaced) & ((! LAST) & ((X objectPlaced) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) -> ((X ((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) | ((X explainObjectLocation) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) & (objectPlaced -> ((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) | ((X explainObjectLocation) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))))))) & (manipulationMode -> (((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) V (((! objectPlaced) & ((! LAST) & ((X objectPlaced) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) -> ((X ((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) | ((X explainObjectLocation) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST))))) & (objectPlaced -> ((((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST) | ((X explainObjectLocation) & (! (((manipulationMode & (! LAST)) & (X (! manipulationMode))) | LAST)))))))),"['&', ['V', 'LAST', ['|', ['!', ['&', ['&', ['&', ['!', 'manipulationMode'], ['!', 'LAST']], ['X', 'manipulationMode']], ['!', 'LAST']]], ['X', ['&', ['V', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['->', ['&', ['!', 'objectPlaced'], ['&', ['!', 'LAST'], ['&', ['X', 'objectPlaced'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['&', ['X', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['->', 'objectPlaced', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]]]]]], ['->', 'manipulationMode', ['&', ['V', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['->', ['&', ['!', 'objectPlaced'], ['&', ['!', 'LAST'], ['&', ['X', 'objectPlaced'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['&', ['X', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['->', 'objectPlaced', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]]]]]"
R.036,((requestPermission | LAST) V (! proceed)),"['V', ['|', 'requestPermission', 'LAST'], ['!', 'proceed']]"
R.013,(LAST V Verifiable),"['V', 'LAST', 'Verifiable']"
R.034,((LAST V (((! selfRecoveryExists) & ((! LAST) & (X selfRecoveryExists))) -> (X ((! LAST) U explainRecoveryStrategy)))) & (selfRecoveryExists -> ((! LAST) U explainRecoveryStrategy))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'selfRecoveryExists'], ['&', ['!', 'LAST'], ['X', 'selfRecoveryExists']]], ['X', ['U', ['!', 'LAST'], 'explainRecoveryStrategy']]]], ['->', 'selfRecoveryExists', ['U', ['!', 'LAST'], 'explainRecoveryStrategy']]]"
R.037,((LAST V (((! missioncomplete) & ((! LAST) & (X missioncomplete))) -> (X (LAST | (X explain))))) & (missioncomplete -> (LAST | (X explain)))),"['&', ['V', 'LAST', ['->', ['&', ['!', 'missioncomplete'], ['&', ['!', 'LAST'], ['X', 'missioncomplete']]], ['X', ['|', 'LAST', ['X', 'explain']]]]], ['->', 'missioncomplete', ['|', 'LAST', ['X', 'explain']]]]"
R.045,(LAST V ((explainVisited -> returnVisited) & (explainMeasurements -> returnMeasurementOrigins))),"['V', 'LAST', ['&', ['->', 'explainVisited', 'returnVisited'], ['->', 'explainMeasurements', 'returnMeasurementOrigins']]]"
R.017,(LAST V (performanceReviewMode -> detailed)),"['V', 'LAST', ['->', 'performanceReviewMode', 'detailed']]"
R.011,(LAST V Truthful),"['V', 'LAST', 'Truthful']"
