count,serialisation
53,"['!', 'PCVMode']"
46,"['&', 'PCVMode', ['X', ['!', 'PCVMode']]]"
46,"['X', ['!', 'PCVMode']]"
38,"['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]"
33,"['!', 'PSVMode']"
32,"['!', 'SelfTestMode']"
30,"['&', 'PSVMode', ['X', ['!', 'PSVMode']]]"
30,"['X', ['!', 'PSVMode']]"
24,"['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]"
24,"['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]"
24,"['X', ['!', 'SelfTestMode']]"
22,"['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]"
11,"['!', 'InspiratoryPauseButton']"
10,"['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]]"
10,"['X', ['!', 'InspiratoryPauseButton']]"
8,"['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]]"
8,"['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]"
8,"['X', 'SelfTestMode']"
8,"['!', 'resumeVentilation']"
8,"['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]"
8,"['&', 'inValveClose', 'outValveClose']"
7,"['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]]"
7,"['&', ['!', 'PCVMode'], ['X', 'PCVMode']]"
7,"['X', 'PCVMode']"
6,"['<', 'Fl1', 'ExpiratoryTriggerSensitivity']"
6,"['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]"
6,"['!', 'PSVModeSelected']"
6,"['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]"
6,"['X', 'PSVModeSelected']"
6,"['!', 'StartUpMode']"
6,"['>=', 'breathingTime', 'apneaLagTime']"
6,"['<', 'inspiratoryPressure', 'InhaleTriggerSensitivityPSV']"
6,"['|', 'PCVInspiratoryPhaseEnd', 'PSVInspiratoryPhaseEnd']"
5,"['F', 'patientSafe']"
5,"['!', 'off']"
4,"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']"
4,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']"
4,"['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]]"
4,"['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]"
4,"['X', ['!', 'StartUpMode']]"
4,"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']"
4,"['!', 'patientConnected']"
4,"['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']"
4,"['&', 'expirationPhaseEnd', 'inValveClose']"
4,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]"
4,"['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]"
4,"['&', 'PCVInspTimeEnd', 'PSVMode']"
4,"['!', ['!', 'resumeVentilation']]"
4,"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']"
4,"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'breathingCycleStart']"
