serialisation,size,count,shrinking_power
manipulationMode,1,34,34
explain,1,26,26
systemDiagnosis,1,7,7
safetyConcernDetected,1,6,6
changePlan,1,6,6
objectPlaced,1,6,6
detailed,1,6,6
provideReason,1,5,5
justifyDecision,1,4,4
failureDetected,1,4,4
explainObjectLocation,1,4,4
taskCannotComplete,1,3,3
infoRequest,1,3,3
routeChange,1,3,3
timeConstraints,1,3,3
priorities,1,3,3
areaAvoided,1,3,3
p,1,3,3
probComplete,1,3,3
abort,1,3,3
unexpectedObstacle,1,3,3
problemDetected,1,3,3
assessment,1,3,3
clearance,1,3,3
unexpectedCondition,1,3,3
decisionMaking,1,3,3
pathImpossible,1,3,3
lowRisk,1,3,3
situationAssessment,1,3,3
notOptimal,1,3,3
missioncomplete,1,3,3
selfRecoveryExists,1,3,3
taskAbort,1,3,3
timeCritical,1,3,3
previousProbabilityTaskCompletion,1,3,3
probabilityTaskCompletion,1,3,3
planDeviation,1,3,3
verifyAction,1,2,2
diagnose,1,2,2
mission,1,2,2
returnUncertaintyVariables,1,2,2
Explain,1,2,2
shareSensitiveInformation,1,2,2
notifyUsers,1,2,2
returnAllOption,1,2,2
Future(explainMaterial),1,2,2
explainObject,1,2,2
Future(explainCut),1,2,2
unexpectedBehaviour,1,2,2
explainRecoveryStrategy,1,2,2
explainFailSafe,1,2,2
concise,1,2,2
explainAlternatives,1,2,2
returnCurrentLocation,1,2,2
pathPlanningMode,1,1,1
explainPath,1,1,1
pathPlanning,1,1,1
taskCompletionStatus,1,1,1
robotLocation,1,1,1
explainSuitable,1,1,1
explainLocation,1,1,1
threshold,1,1,1
health,1,1,1
monitorHealth,1,1,1
produceDetailedExplanation,1,1,1
developer,1,1,1
explainHealth,1,1,1
explainTaskProbability,1,1,1
failSafe,1,1,1
explainOffNormal,1,1,1
avoidObstacles,1,1,1
sampleDoseRate,1,1,1
minimiseRadRisk,1,1,1
acceptableThreshold,1,1,1
selfRecoveryStrategyConfidence,1,1,1
provideHealthUpdate,1,1,1
detailRequested,1,1,1
detailedExplain,1,1,1
Truthful,1,1,1
performanceReviewMode,1,1,1
returnMeasurementOrigins,1,1,1
explainMeasurements,1,1,1
returnVisited,1,1,1
explainVisited,1,1,1
Verifiable,1,1,1
proceed,1,1,1
requestPermission,1,1,1
returnIntendedPath,1,1,1
explainIntendedPath,1,1,1
returnCurrentPath,1,1,1
explainCurrentPath,1,1,1
followPath,1,1,1
noDeviations,1,1,1
trainingMode,1,1,1
Factual,1,1,1
go,1,1,1
calculateTaskCompletionProbability,1,1,1
