serialisation,size,count,shrinking_power
"['&', ['G', ['|', ['!', ['&', ['!', 'manipulationMode'], ['X', 'manipulationMode']]], ['X', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]]], ['->', 'manipulationMode', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]]",132,1,132
"['G', ['|', ['!', ['&', ['!', 'manipulationMode'], ['X', 'manipulationMode']]], ['X', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]]]",69,1,69
"['|', ['!', ['&', ['!', 'manipulationMode'], ['X', 'manipulationMode']]], ['X', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]]",68,1,68
"['->', 'manipulationMode', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]",62,1,62
"['X', ['&', ['V', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['->', ['&', ['!', 'objectPlaced'], ['&', ['X', 'objectPlaced'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]], ['&', ['X', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]], ['->', 'objectPlaced', ['|', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]], ['&', ['X', 'explainObjectLocation'], ['!', ['&', 'manipulationMode', ['X', ['!', 'manipulationMode']]]]]]]]]",61,1,61
"['&', ['G', ['|', ['!', ['&', ['!', 'systemDiagnosis'], ['X', 'systemDiagnosis']]], ['X', ['U', ['!', ['&', 'systemDiagnosis', ['X', ['!', 'systemDiagnosis']]]], 'detailed']]]], ['->', 'systemDiagnosis', ['U', ['!', ['&', 'systemDiagnosis', ['X', ['!', 'systemDiagnosis']]]], 'detailed']]]",28,1,28
"['&', ['G', ['->', ['&', ['!', ['>=', 'probComplete', 'p']], ['X', ['>=', 'probComplete', 'p']]], ['X', ['&', 'returnUncertaintyVariables', 'explain']]]], ['->', ['>=', 'probComplete', 'p'], ['&', 'returnUncertaintyVariables', 'explain']]]",23,1,23
"['&', ['G', ['|', ['!', ['&', ['!', 'manipulationMode'], ['X', 'manipulationMode']]], ['X', ['&', ['&', 'explainObject', 'Future(explainMaterial)'], 'Future(explainCut)']]]], ['->', 'manipulationMode', ['&', ['&', 'explainObject', 'Future(explainMaterial)'], 'Future(explainCut)']]]",22,1,22
"['&', ['G', ['->', ['&', ['!', ['&', 'routeChange', 'infoRequest']], ['X', ['&', 'routeChange', 'infoRequest']]], ['X', ['X', 'provideReason']]]], ['->', ['&', 'routeChange', 'infoRequest'], ['X', 'provideReason']]]",21,1,21
"['&', ['G', ['->', ['&', ['!', ['->', 'timeConstraints', 'changePlan']], ['X', ['->', 'timeConstraints', 'changePlan']]], ['X', ['X', 'explain']]]], ['->', ['->', 'timeConstraints', 'changePlan'], ['X', 'explain']]]",21,1,21
"['&', ['G', ['->', ['&', ['!', ['->', 'priorities', 'changePlan']], ['X', ['->', 'priorities', 'changePlan']]], ['X', ['X', 'explain']]]], ['->', ['->', 'priorities', 'changePlan'], ['X', 'explain']]]",21,1,21
"['&', ['G', ['->', ['&', ['!', ['->', 'situationAssessment', 'lowRisk']], ['X', ['->', 'situationAssessment', 'lowRisk']]], ['X', ['F', 'detailed']]]], ['->', ['->', 'situationAssessment', 'lowRisk'], ['F', 'detailed']]]",21,1,21
