serialisation,size,count,shrinking_power
stop,1,6,6
parallelGuidanceRequested,1,6,6
dropRequest,1,4,4
commRequest,1,3,3
rcConnected,1,3,3
unwantedParallelGuidanceRequest,1,3,3
unrecoverablError,1,3,3
rcDisconnectDetected,1,3,3
unwantedManualModeRequested,1,3,3
manualModeRequestd,1,3,3
IMUFail,1,3,3
parallelGuidanceMode,1,2,2
checkGPS,1,2,2
communication,1,2,2
authentication,1,2,2
rcDisconnectedWarning,1,2,2
ManualMode,1,2,2
ParallelGuidanceMode,1,2,2
checkIMUConnection,1,2,2
rcConnectRequest,1,1,1
drivingCycleComplete,1,1,1
"[0,9]",1,1,1
controlCycle,1,1,1
"[0,200]",1,1,1
