reqid,fret,serialisation
UC9_R_7,,
UC9_R_1	,((G (((! (((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & signalLightOccluded)) & (X (((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & signalLightOccluded))) -> (X (F generateFrameset)))) & ((((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & signalLightOccluded) -> (F generateFrameset))),"['&', ['G', ['->', ['&', ['!', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'signalLightOccluded']], ['X', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'signalLightOccluded']]], ['X', ['F', 'generateFrameset']]]], ['->', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'signalLightOccluded'], ['F', 'generateFrameset']]]"
UC9_R_2,,
UC9_R_8,((G (((! objectDetected) & (X objectDetected)) -> (X (F logObject)))) & (objectDetected -> (F logObject))),"['&', ['G', ['->', ['&', ['!', 'objectDetected'], ['X', 'objectDetected']], ['X', ['F', 'logObject']]]], ['->', 'objectDetected', ['F', 'logObject']]]"
UC9_R_3,((G (((! objectDetected) & (X objectDetected)) -> (X (F logObject)))) & (objectDetected -> (F logObject))),"['&', ['G', ['->', ['&', ['!', 'objectDetected'], ['X', 'objectDetected']], ['X', ['F', 'logObject']]]], ['->', 'objectDetected', ['F', 'logObject']]]"
UC9_R_9,((G (((! validationTest) & (X validationTest)) -> (X (F calculateAccuracy)))) & (validationTest -> (F calculateAccuracy))),"['&', ['G', ['->', ['&', ['!', 'validationTest'], ['X', 'validationTest']], ['X', ['F', 'calculateAccuracy']]]], ['->', 'validationTest', ['F', 'calculateAccuracy']]]"
UC9_R_10,,
UC9_R_4,((G (((! validationTest) & (X validationTest)) -> (X (F logTest)))) & (validationTest -> (F logTest))),"['&', ['G', ['->', ['&', ['!', 'validationTest'], ['X', 'validationTest']], ['X', ['F', 'logTest']]]], ['->', 'validationTest', ['F', 'logTest']]]"
UC9_R_5	,((G (((! validationTest) & (X validationTest)) -> (X (F calculateAccuracy)))) & (validationTest -> (F calculateAccuracy))),"['&', ['G', ['->', ['&', ['!', 'validationTest'], ['X', 'validationTest']], ['X', ['F', 'calculateAccuracy']]]], ['->', 'validationTest', ['F', 'calculateAccuracy']]]"
UC9_R_6,((G (((! (((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & speedSignOcclusions)) & (X (((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & speedSignOcclusions))) -> (X (F generateFrameset)))) & ((((daytime | nighttime) & (((((sunny | clear) | cloudy) | rainy) | foggy) | snowy)) & speedSignOcclusions) -> (F generateFrameset))),"['&', ['G', ['->', ['&', ['!', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'speedSignOcclusions']], ['X', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'speedSignOcclusions']]], ['X', ['F', 'generateFrameset']]]], ['->', ['&', ['&', ['|', 'daytime', 'nighttime'], ['|', ['|', ['|', ['|', ['|', 'sunny', 'clear'], 'cloudy'], 'rainy'], 'foggy'], 'snowy']], 'speedSignOcclusions'], ['F', 'generateFrameset']]]"
