serialisation,size,count,shrinking_power
PSVMode,1,553,553
PCVMode,1,504,504
SelfTestMode,1,173,173
inspiratoryPauseButton,1,169,169
StartUpMode,1,146,146
RMButton,1,105,105
StandbyMode,1,100,100
inValveClose,1,64,64
outValveClose,1,62,62
RM,1,61,61
expiratoryPauseButton,1,60,60
inspiratoryPhaseEnd,1,52,52
expiratoryPhase,1,32,32
expirationPhaseStart,1,31,31
PSVModeSelected,1,30,30
expirationPhaseEnd,1,28,28
FailSafeMode,1,27,27
P_insp,1,24,24
apneaLagTime,1,24,24
ventilating,1,23,23
patientBreathingRequest,1,22,22
selfTestPassed,1,21,21
buttonUnPressOr60Seconds,1,20,20
off,1,20,20
expiratoryPause,1,17,17
inspiratoryPause,1,17,17
apnea,1,16,16
"[0,40]",1,16,16
inspiratoryPhaseStart,1,15,15
resumeVentilation,1,14,14
5,1,12,12
breathingTime,1,12,12
stopVentilation,1,12,12
dropPAW,1,12,12
BreathingCycleStart,1,12,12
expClock,1,12,12
ExpiratoryTriggerSensitivity,1,12,12
P_inspAP,1,11,11
RR_AP,1,10,10
RR,1,10,10
ItoE_AP,1,10,10
ItoE,1,10,10
initDone,1,10,10
MaxP_insp,1,10,10
FinalState,1,9,9
inspiratoryPressure,1,9,9
ExpiratoryPhaseEnd,1,9,9
OutOfServiceWarning,1,8,8
breathingCycleStart,1,8,8
powerOff,1,7,7
newPatient,1,7,7
inspiratoryPhase,1,7,7
ITS_PSV,1,6,6
ADCError,1,6,6
ADCConnFailure,1,6,6
ADCRetries,1,6,6
pressureSensorError,1,6,6
pressureSensorConnFailure,1,6,6
pressureSensorRetries,1,6,6
selfTestFail,1,6,6
InhaleTriggerSensitivityPSV,1,6,6
powerButton,1,6,6
powerFailure,1,6,6
testLeaksPass,1,6,6
testPowerSwitchPass,1,6,6
testPSExpPass,1,6,6
testOxygenSensorPass,1,6,6
testAlarmsPass,1,6,6
patientSafe,1,6,6
testFl2Pass,1,6,6
param_V,1,6,6
confirmPSVParameters,1,6,6
Fl1,1,6,6
PCVModeSelected,1,6,6
expiratoryPhaseEnd,1,6,6
GUIResumeRequest,1,6,6
monitorInhaleTrigger,1,6,6
ITS_PCV,1,6,6
SelfTestFail,1,6,6
PeakV_E,1,6,6
V_E,1,6,6
1,1,5,5
inspiratoryTime,1,5,5
inspClock,1,5,5
"[0,41]",1,4,4
ItoE_PCV,1,4,4
breathingCycleTime,1,4,4
PCVInspTimeEnd,1,4,4
initFail,1,4,4
patientConnected,1,4,4
leakCompensation,1,4,4
testLeaksSkip,1,4,4
testPowerSwitchSkip,1,4,4
testPSExpSkip,1,4,4
testOxygenSensorSkip,1,4,4
testAlarmsSkip,1,4,4
initStart,1,4,4
testFl2Skip,1,4,4
selfTestFailed,1,4,4
outValveOpen,1,4,4
checkCommsGUI,1,4,4
checkCommsValves,1,4,4
checkCommsSensors,1,4,4
minExpiratoryTime,1,3,3
preUseCheckDone,1,3,3
breathingCircuitConnected,1,3,3
airSupplyConnected,1,3,3
powerConnected,1,3,3
MinPEEPAlarm,1,3,3
leakCompensationEnable,1,3,3
patientBreathTrigger,1,3,3
RR_PCV,1,3,3
powerSupplyChanged,1,3,3
gasSupplyFailure,1,3,3
InhaleTriggerSensitivityPCV,1,3,3
patientChanged,1,3,3
alarmSettingsChanged,1,3,3
startUpDone,1,3,3
ventilatorSettingsChanged,1,3,3
enableLeakCompensation,1,3,3
GUIConnected,1,3,3
GUIFailue,1,3,3
paramMin_V,1,3,3
paramMax_V,1,3,3
parametersStored,1,2,2
2,1,2,2
loadLastParams,1,2,2
"[0,120]",1,2,2
patientAttributesEntered,1,2,2
testLeaksFail,1,2,2
logPreUseCheck,1,2,2
leakCompensationActive,1,2,2
testPowerSwitchFail,1,2,2
breathingTimerReset,1,2,2
ExpiratoryTime,1,2,2
logPowerSupply,1,2,2
"[0,15]",1,2,2
"[0,16]",1,2,2
testAlarmsFail,1,2,2
logPatientChange,1,2,2
testOxygenSensorFail,1,2,2
ventilationOff,1,2,2
logAlarmSettings,1,2,2
logVentilatorSettings,1,2,2
apneaAlarm,1,2,2
testPSExpFail,1,2,2
breathingCycleDone,1,2,2
startReportingHealthParams,1,2,2
startMonitoring,1,2,2
highPriorityAlarm,1,2,2
testFl2Fail,1,2,2
paramAlarm_V,1,2,2
"[0,10]",1,2,2
"[0,11]",1,2,2
"[0,700]",1,2,2
"[0,701]",1,2,2
defaultParamsLoaded,1,2,2
0.4,1,1,1
expiratoryState,1,1,1
60,1,1,1
displayO2_PRC_,1,1,1
measureO2_PRC_,1,1,1
logO2SensorUse,1,1,1
displayRR,1,1,1
measureRR,1,1,1
saveLog,1,1,1
logParams,1,1,1
loadLog,1,1,1
disableLeakCompensation,1,1,1
5.2,1,1,1
GBPS,1,1,1
ventilationParamsAdjustable,1,1,1
display,1,1,1
measureFl1,1,1,1
enterAlarmThresholds,1,1,1
displayTV,1,1,1
measureTV,1,1,1
eraseLog,1,1,1
operator,1,1,1
user,1,1,1
measurePSins,1,1,1
runSelfTest,1,1,1
startPSV,1,1,1
startPCV,1,1,1
error,1,1,1
logAlarmParams,1,1,1
logVentilationParams,1,1,1
logCalibrationParams,1,1,1
inValveOpen,1,1,1
P_inspPCV,1,1,1
P_isnpPCV,1,1,1
P_inspPSV,1,1,1
