serialisation,size,count,shrinking_power
"['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]",6,74,444
"['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]",6,72,432
"['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]",6,40,240
"['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]]",6,36,216
"['!', ['&', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']], ['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]]]",20,8,160
"['!', ['&', ['|', 'PCVMode', 'PSVMode'], ['X', ['!', ['|', 'PCVMode', 'PSVMode']]]]]",10,16,160
"['X', ['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]]",10,14,140
"['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]]",9,15,135
"['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]]]",14,8,112
"['!', ['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton'], ['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]]]",14,8,112
"['X', ['!', ['|', 'PCVMode', 'PSVMode']]]",5,20,100
"['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]]",7,14,98
"['X', ['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]]",7,14,98
"['!', ['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]]",6,16,96
"['!', ['|', 'PCVMode', 'PSVMode']]",4,23,92
"['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']]",6,15,90
"['!', ['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']]",6,15,90
