reqid,fret,serialisation
CONT13,((G ((! (((! StartUpMode) ) & (X StartUpMode))) | (X ((! ((StartUpMode ) & (X (! StartUpMode)))) U (checkCommsSensors & checkCommsValves))))) & (StartUpMode -> ((! ((StartUpMode ) & (X (! StartUpMode)))) U (checkCommsSensors & checkCommsValves)))),"['&', ['G', ['|', ['!', ['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]], ['X', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], ['&', 'checkCommsSensors', 'checkCommsValves']]]]], ['->', 'StartUpMode', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], ['&', 'checkCommsSensors', 'checkCommsValves']]]]"
CONT33,((G ((! (((! PSVMode) ) & (X PSVMode))) | (X ((((PSVMode ) & (X (! PSVMode))) V (((! (V_E < (ExpiratoryTriggerSensitivity * PeakV_E))) & ((X (V_E < (ExpiratoryTriggerSensitivity * PeakV_E))) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X (((PSVMode ) & (X (! PSVMode))) | ((X expirationPhaseStart) & (! ((PSVMode ) & (X (! PSVMode))))))) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((V_E < (ExpiratoryTriggerSensitivity * PeakV_E)) -> (((PSVMode ) & (X (! PSVMode))) | ((X expirationPhaseStart) & (! ((PSVMode ) & (X (! PSVMode))))))))))) & (PSVMode -> ((((PSVMode ) & (X (! PSVMode))) V (((! (V_E < (ExpiratoryTriggerSensitivity * PeakV_E))) & ((X (V_E < (ExpiratoryTriggerSensitivity * PeakV_E))) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X (((PSVMode ) & (X (! PSVMode))) | ((X expirationPhaseStart) & (! ((PSVMode ) & (X (! PSVMode))))))) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((V_E < (ExpiratoryTriggerSensitivity * PeakV_E)) -> (((PSVMode ) & (X (! PSVMode))) | ((X expirationPhaseStart) & (! ((PSVMode ) & (X (! PSVMode)))))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PSVMode'], ['X', 'PSVMode']]], ['X', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']]], ['&', ['X', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', 'expirationPhaseStart'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']], ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', 'expirationPhaseStart'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]]]]]], ['->', 'PSVMode', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']]], ['&', ['X', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', 'expirationPhaseStart'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['<', 'V_E', ['*', 'ExpiratoryTriggerSensitivity', 'PeakV_E']], ['|', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['&', ['X', 'expirationPhaseStart'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]]]]]"
CONT19,((G ((! (((! SelfTestMode) ) & (X SelfTestMode))) | (X ((((SelfTestMode ) & (X (! SelfTestMode))) V (((! SelfTestFail) & ((X SelfTestFail) & (! ((SelfTestMode ) & (X (! SelfTestMode)))))) -> ((X ((! (((! off) & (! ((SelfTestMode ) & (X (! SelfTestMode))))) U ((! ((! StandbyMode) & (! ventilating))) & (! off)))) | (((((! StandbyMode) & (! ventilating)) & ((SelfTestMode ) & (X (! SelfTestMode)))) | ((SelfTestMode ) & (X (! SelfTestMode)))) V ((! StandbyMode) & (! ventilating))))) & (! ((SelfTestMode ) & (X (! SelfTestMode))))))) & (SelfTestFail -> ((! (((! off) & (! ((SelfTestMode ) & (X (! SelfTestMode))))) U ((! ((! StandbyMode) & (! ventilating))) & (! off)))) | (((((! StandbyMode) & (! ventilating)) & ((SelfTestMode ) & (X (! SelfTestMode)))) | ((SelfTestMode ) & (X (! SelfTestMode)))) V ((! StandbyMode) & (! ventilating))))))))) & (SelfTestMode -> ((((SelfTestMode ) & (X (! SelfTestMode))) V (((! SelfTestFail) & ((X SelfTestFail) & (! ((SelfTestMode ) & (X (! SelfTestMode)))))) -> ((X ((! (((! off) & (! ((SelfTestMode ) & (X (! SelfTestMode))))) U ((! ((! StandbyMode) & (! ventilating))) & (! off)))) | (((((! StandbyMode) & (! ventilating)) & ((SelfTestMode ) & (X (! SelfTestMode)))) | ((SelfTestMode ) & (X (! SelfTestMode)))) V ((! StandbyMode) & (! ventilating))))) & (! ((SelfTestMode ) & (X (! SelfTestMode))))))) & (SelfTestFail -> ((! (((! off) & (! ((SelfTestMode ) & (X (! SelfTestMode))))) U ((! ((! StandbyMode) & (! ventilating))) & (! off)))) | (((((! StandbyMode) & (! ventilating)) & ((SelfTestMode ) & (X (! SelfTestMode)))) | ((SelfTestMode ) & (X (! SelfTestMode)))) V ((! StandbyMode) & (! ventilating)))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]], ['X', ['&', ['V', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]], ['->', ['&', ['!', 'SelfTestFail'], ['&', ['X', 'SelfTestFail'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]]], ['->', 'SelfTestFail', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]]]]]], ['->', 'SelfTestMode', ['&', ['V', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]], ['->', ['&', ['!', 'SelfTestFail'], ['&', ['X', 'SelfTestFail'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]]]], ['->', 'SelfTestFail', ['|', ['!', ['U', ['&', ['!', 'off'], ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]], ['&', ['!', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]], ['!', 'off']]]], ['V', ['|', ['&', ['&', ['!', 'StandbyMode'], ['!', 'ventilating']], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', ['!', 'StandbyMode'], ['!', 'ventilating']]]]]]]]"
CONT36_2,((G ((! (((! PSVMode) ) & (X PSVMode))) | (X ((((PSVMode ) & (X (! PSVMode))) V (((! ((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest))) & ((X ((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest))) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! (((! buttonUnPressOr60Seconds) & (! ((PSVMode ) & (X (! PSVMode))))) U ((! ((expirationPhaseEnd & inValveClose) & outValveClose)) & (! buttonUnPressOr60Seconds)))) | (((((expirationPhaseEnd & inValveClose) & outValveClose) & ((PSVMode ) & (X (! PSVMode)))) | ((PSVMode ) & (X (! PSVMode)))) V ((expirationPhaseEnd & inValveClose) & outValveClose)))) & (! ((PSVMode ) & (X (! PSVMode))))))) & (((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest)) -> ((! (((! buttonUnPressOr60Seconds) & (! ((PSVMode ) & (X (! PSVMode))))) U ((! ((expirationPhaseEnd & inValveClose) & outValveClose)) & (! buttonUnPressOr60Seconds)))) | (((((expirationPhaseEnd & inValveClose) & outValveClose) & ((PSVMode ) & (X (! PSVMode)))) | ((PSVMode ) & (X (! PSVMode)))) V ((expirationPhaseEnd & inValveClose) & outValveClose)))))))) & (PSVMode -> ((((PSVMode ) & (X (! PSVMode))) V (((! ((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest))) & ((X ((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest))) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! (((! buttonUnPressOr60Seconds) & (! ((PSVMode ) & (X (! PSVMode))))) U ((! ((expirationPhaseEnd & inValveClose) & outValveClose)) & (! buttonUnPressOr60Seconds)))) | (((((expirationPhaseEnd & inValveClose) & outValveClose) & ((PSVMode ) & (X (! PSVMode)))) | ((PSVMode ) & (X (! PSVMode)))) V ((expirationPhaseEnd & inValveClose) & outValveClose)))) & (! ((PSVMode ) & (X (! PSVMode))))))) & (((expiratoryPauseButton & (expClock <= apneaLagTime)) & (! patientBreathingRequest)) -> ((! (((! buttonUnPressOr60Seconds) & (! ((PSVMode ) & (X (! PSVMode))))) U ((! ((expirationPhaseEnd & inValveClose) & outValveClose)) & (! buttonUnPressOr60Seconds)))) | (((((expirationPhaseEnd & inValveClose) & outValveClose) & ((PSVMode ) & (X (! PSVMode)))) | ((PSVMode ) & (X (! PSVMode)))) V ((expirationPhaseEnd & inValveClose) & outValveClose))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PSVMode'], ['X', 'PSVMode']]], ['X', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['&', ['X', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']], ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]]]], ['->', 'PSVMode', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['&', ['X', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['&', ['&', 'expiratoryPauseButton', ['<=', 'expClock', 'apneaLagTime']], ['!', 'patientBreathingRequest']], ['|', ['!', ['U', ['&', ['!', 'buttonUnPressOr60Seconds'], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]], ['&', ['!', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']], ['!', 'buttonUnPressOr60Seconds']]]], ['V', ['|', ['&', ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose'], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], ['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']]]]]]]"
CONT14,((G ((! (((! StartUpMode) ) & (X StartUpMode))) | (X ((! ((StartUpMode ) & (X (! StartUpMode)))) U checkCommsGUI)))) & (StartUpMode -> ((! ((StartUpMode ) & (X (! StartUpMode)))) U checkCommsGUI))),"['&', ['G', ['|', ['!', ['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]], ['X', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], 'checkCommsGUI']]]], ['->', 'StartUpMode', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], 'checkCommsGUI']]]"
CONT21,((G ((! ((! PCVMode) & (X PCVMode))) | (X (((PCVMode & (X (! PCVMode))) V (((! BreathingCycleStart) & ((X BreathingCycleStart) & (! (PCVMode & (X (! PCVMode)))))) -> ((X ((PCVMode & (X (! PCVMode))) | ((X inspiratoryPhaseStart) & (! (PCVMode & (X (! PCVMode))))))) & (! (PCVMode & (X (! PCVMode))))))) & (BreathingCycleStart -> ((PCVMode & (X (! PCVMode))) | ((X inspiratoryPhaseStart) & (! (PCVMode & (X (! PCVMode))))))))))) & (PCVMode -> (((PCVMode & (X (! PCVMode))) V (((! BreathingCycleStart) & ((X BreathingCycleStart) & (! (PCVMode & (X (! PCVMode)))))) -> ((X ((PCVMode & (X (! PCVMode))) | ((X inspiratoryPhaseStart) & (! (PCVMode & (X (! PCVMode))))))) & (! (PCVMode & (X (! PCVMode))))))) & (BreathingCycleStart -> ((PCVMode & (X (! PCVMode))) | ((X inspiratoryPhaseStart) & (! (PCVMode & (X (! PCVMode)))))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'BreathingCycleStart'], ['&', ['X', 'BreathingCycleStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'inspiratoryPhaseStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'BreathingCycleStart', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'inspiratoryPhaseStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]]]]], ['->', 'PCVMode', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'BreathingCycleStart'], ['&', ['X', 'BreathingCycleStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'inspiratoryPhaseStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'BreathingCycleStart', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'inspiratoryPhaseStart'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]]]]"
CONT26,((G ((! (((! PCVMode) ) & (X PCVMode))) | (X ((((PCVMode ) & (X (! PCVMode))) V (((! (dropPAW > ITS_PCV)) & ((X (dropPAW > ITS_PCV)) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X (((PCVMode ) & (X (! PCVMode))) | ((X patientBreathingRequest) & (! ((PCVMode ) & (X (! PCVMode))))))) & (! ((PCVMode ) & (X (! PCVMode))))))) & ((dropPAW > ITS_PCV) -> (((PCVMode ) & (X (! PCVMode))) | ((X patientBreathingRequest) & (! ((PCVMode ) & (X (! PCVMode))))))))))) & (PCVMode -> ((((PCVMode ) & (X (! PCVMode))) V (((! (dropPAW > ITS_PCV)) & ((X (dropPAW > ITS_PCV)) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X (((PCVMode ) & (X (! PCVMode))) | ((X patientBreathingRequest) & (! ((PCVMode ) & (X (! PCVMode))))))) & (! ((PCVMode ) & (X (! PCVMode))))))) & ((dropPAW > ITS_PCV) -> (((PCVMode ) & (X (! PCVMode))) | ((X patientBreathingRequest) & (! ((PCVMode ) & (X (! PCVMode)))))))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', ['>', 'dropPAW', 'ITS_PCV']], ['&', ['X', ['>', 'dropPAW', 'ITS_PCV']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', ['>', 'dropPAW', 'ITS_PCV'], ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]]]]], ['->', 'PCVMode', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', ['>', 'dropPAW', 'ITS_PCV']], ['&', ['X', ['>', 'dropPAW', 'ITS_PCV']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', ['>', 'dropPAW', 'ITS_PCV'], ['|', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['&', ['X', 'patientBreathingRequest'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]]]]]"
CONT1,(G (((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode) | FailSafeMode)),"['G', ['|', ['|', ['|', ['|', ['|', 'StartUpMode', 'SelfTestMode'], 'StandbyMode'], 'PCVMode'], 'PSVMode'], 'FailSafeMode']]"
CONT34,"((G ((! (((! (PSVMode & inspiratoryPauseButton)) ) & (X (PSVMode & inspiratoryPauseButton)))) | (X (((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (((! inspiratoryPhaseEnd) & ((X inspiratoryPhaseEnd) & (! (((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton))))))) -> ((X ((G[0,40] (inspiratoryPauseButton -> (inValveClose & outValveClose))) | ((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (inspiratoryPauseButton -> (inValveClose & outValveClose))))) & (! (((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))))))) & (inspiratoryPhaseEnd -> ((G[0,40] (inspiratoryPauseButton -> (inValveClose & outValveClose))) | ((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (inspiratoryPauseButton -> (inValveClose & outValveClose))))))))) & ((PSVMode & inspiratoryPauseButton) -> (((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (((! inspiratoryPhaseEnd) & ((X inspiratoryPhaseEnd) & (! (((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton))))))) -> ((X ((G[0,40] (inspiratoryPauseButton -> (inValveClose & outValveClose))) | ((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (inspiratoryPauseButton -> (inValveClose & outValveClose))))) & (! (((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))))))) & (inspiratoryPhaseEnd -> ((G[0,40] (inspiratoryPauseButton -> (inValveClose & outValveClose))) | ((((PSVMode & inspiratoryPauseButton) ) & (X (! (PSVMode & inspiratoryPauseButton)))) V (inspiratoryPauseButton -> (inValveClose & outValveClose))))))))","['&', ['G', ['|', ['!', ['&', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']], ['X', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['X', ['&', ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]]]]], ['&', ['X', ['|', ['G', '[0,40]', ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]], ['!', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]]]]]], ['->', 'inspiratoryPhaseEnd', ['|', ['G', '[0,40]', ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]]]]]], ['->', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['&', ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', ['&', ['!', 'inspiratoryPhaseEnd'], ['&', ['X', 'inspiratoryPhaseEnd'], ['!', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]]]]], ['&', ['X', ['|', ['G', '[0,40]', ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]], ['!', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]]]]]], ['->', 'inspiratoryPhaseEnd', ['|', ['G', '[0,40]', ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', ['&', 'PSVMode', 'inspiratoryPauseButton'], ['X', ['!', ['&', 'PSVMode', 'inspiratoryPauseButton']]]], ['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]]]]]"
CONT31,,
