id,serialisation,count
1,PSVMode,553
2,PCVMode,504
3,SelfTestMode,173
4,inspiratoryPauseButton,169
5,StartUpMode,146
6,"['!', 'PSVMode']",146
7,"['|', 'PCVMode', 'PSVMode']",142
8,"['&', 'PSVMode', ['X', ['!', 'PSVMode']]]",136
9,"['X', ['!', 'PSVMode']]",136
10,"['!', 'PCVMode']",135
11,"['&', 'PCVMode', ['X', ['!', 'PCVMode']]]",126
12,"['X', ['!', 'PCVMode']]",126
13,RMButton,105
14,StandbyMode,100
15,"['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]",74
16,"['!', 'SelfTestMode']",73
17,"['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]",72
18,"['!', 'StartUpMode']",65
19,inValveClose,64
20,"['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]",62
21,"['X', ['!', 'SelfTestMode']]",62
22,outValveClose,62
23,RM,61
24,expiratoryPauseButton,60
25,"['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]",54
26,"['X', ['!', 'StartUpMode']]",54
27,inspiratoryPhaseEnd,52
28,"['!', 'inspiratoryPauseButton']",48
29,"['!', 'StandbyMode']",42
30,"['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]",40
31,"['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]]",36
32,expiratoryPhase,32
33,expirationPhaseStart,31
34,"['&', 'PSVMode', 'RMButton']",31
35,"['&', ['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton'], ['!', 'inspiratoryPauseButton']]",31
36,"['&', ['|', 'PCVMode', 'PSVMode'], 'RMButton']",31
37,"['&', 'PCVMode', 'RMButton']",31
38,"['&', ['|', 'PCVMode', 'PSVMode'], 'expiratoryPauseButton']",31
39,"['&', ['|', 'PCVMode', 'PSVMode'], 'inspiratoryPauseButton']",31
40,"['&', 'PSVMode', 'expiratoryPhase']",31
41,PSVModeSelected,30
42,"['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']",28
43,"['&', 'expirationPhaseEnd', 'inValveClose']",28
44,expirationPhaseEnd,28
45,"['&', 'StandbyMode', ['X', ['!', 'StandbyMode']]]",28
46,"['X', ['!', 'StandbyMode']]",28
47,FailSafeMode,27
48,"['!', 'RM']",26
49,apneaLagTime,24
50,"['->', 'inspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]",24
