id,serialisation,count
1,LAST,142
2,"['!', 'LAST']",60
3,manipulationMode,34
4,explain,26
5,"['!', 'manipulationMode']",16
6,"['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']",14
7,"['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]]",14
8,"['&', 'manipulationMode', ['!', 'LAST']]",14
9,"['X', ['!', 'manipulationMode']]",14
10,"['X', 'explain']",10
11,"['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]",8
12,systemDiagnosis,7
13,detailed,6
14,objectPlaced,6
15,"['|', 'LAST', ['X', 'explain']]",6
16,changePlan,6
17,safetyConcernDetected,6
18,provideReason,5
19,"['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]",4
20,"['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]",4
21,"['X', 'explainObjectLocation']",4
22,explainObjectLocation,4
23,"['U', ['!', 'LAST'], 'explain']",4
24,"['|', 'LAST', ['X', 'provideReason']]",4
25,"['X', 'provideReason']",4
26,failureDetected,4
27,justifyDecision,4
28,planDeviation,3
29,"['<', 'probabilityTaskCompletion', 'previousProbabilityTaskCompletion']",3
30,probabilityTaskCompletion,3
31,previousProbabilityTaskCompletion,3
32,timeCritical,3
33,taskAbort,3
34,selfRecoveryExists,3
35,missioncomplete,3
36,"['X', ['|', 'LAST', ['X', 'explain']]]",3
37,notOptimal,3
38,"['->', 'situationAssessment', 'lowRisk']",3
39,situationAssessment,3
40,lowRisk,3
41,pathImpossible,3
42,decisionMaking,3
43,"['!', 'systemDiagnosis']",3
44,unexpectedCondition,3
45,"['!', 'clearance']",3
46,clearance,3
47,assessment,3
48,problemDetected,3
49,unexpectedObstacle,3
50,abort,3
51,"['>=', 'probComplete', 'p']",3
52,probComplete,3
53,p,3
54,areaAvoided,3
55,"['->', 'priorities', 'changePlan']",3
56,priorities,3
57,"['->', 'timeConstraints', 'changePlan']",3
58,timeConstraints,3
59,"['&', 'routeChange', 'infoRequest']",3
60,routeChange,3
61,infoRequest,3
62,taskCannotComplete,3
63,returnCurrentLocation,2
64,explainAlternatives,2
65,concise,2
66,explainFailSafe,2
67,"['&', ['V', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['->', ['&', ['!', 'objectPlaced'], ['&', ['!', 'LAST'], ['&', ['X', 'objectPlaced'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['&', ['X', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['->', 'objectPlaced', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]]]",2
68,"['!', ['&', ['&', ['&', ['!', 'manipulationMode'], ['!', 'LAST']], ['X', 'manipulationMode']], ['!', 'LAST']]]",2
69,"['V', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['->', ['&', ['!', 'objectPlaced'], ['&', ['!', 'LAST'], ['&', ['X', 'objectPlaced'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['&', ['X', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]]",2
70,"['->', 'objectPlaced', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]]",2
71,"['&', ['&', ['&', ['!', 'manipulationMode'], ['!', 'LAST']], ['X', 'manipulationMode']], ['!', 'LAST']]",2
72,"['->', ['&', ['!', 'objectPlaced'], ['&', ['!', 'LAST'], ['&', ['X', 'objectPlaced'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['&', ['X', ['|', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST'], ['&', ['X', 'explainObjectLocation'], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]], ['!', ['|', ['&', ['&', 'manipulationMode', ['!', 'LAST']], ['X', ['!', 'manipulationMode']]], 'LAST']]]]",2
