serialisation,size,count,shrinking_power
PCVMode,1,121,121
PSVMode,1,84,84
SelfTestMode,1,82,82
InspiratoryPauseButton,1,31,31
StartUpMode,1,20,20
PSVModeSelected,1,18,18
FailSafeMode,1,15,15
resumeVentilation,1,14,14
selfTestPassed,1,13,13
inValveClose,1,12,12
outValveClose,1,12,12
StandbyMode,1,12,12
apnea,1,10,10
inspiratoryPressure,1,9,9
breathingCycleStart,1,8,8
ventilating,1,8,8
off,1,8,8
patientSafe,1,7,7
newPatient,1,7,7
PSVInspiratoryPhaseEnd,1,6,6
PCVInspiratoryPhaseEnd,1,6,6
selfTestFail,1,6,6
InhaleTriggerSensitivityPSV,1,6,6
RMButton,1,6,6
powerFailure,1,6,6
outOfServiceWarning,1,6,6
apneaLagTime,1,6,6
breathingTime,1,6,6
testLeaksPass,1,6,6
testPowerSwitchPass,1,6,6
testPSExpPass,1,6,6
testOxygenSensorPass,1,6,6
testAlarmsPass,1,6,6
testFl2Pass,1,6,6
param_V,1,6,6
confirmPSVParameters,1,6,6
expirationPhaseStart,1,6,6
ExpiratoryTriggerSensitivity,1,6,6
Fl1,1,6,6
P_insp,1,5,5
"[0,40]",1,4,4
RM,1,4,4
1,1,4,4
PCVInspTimeEnd,1,4,4
expirationPhaseEnd,1,4,4
buttonUnPressOr60Seconds,1,4,4
patientConnected,1,4,4
leakCompensation,1,4,4
testLeaksSkip,1,4,4
testPowerSwitchSkip,1,4,4
testPSExpSkip,1,4,4
testOxygenSensorSkip,1,4,4
testAlarmsSkip,1,4,4
testFl2Skip,1,4,4
StandByMode,1,4,4
preUseCheckDone,1,3,3
breathingCircuitConnected,1,3,3
airSupplyConnected,1,3,3
powerConnected,1,3,3
powerButton,1,3,3
MinPEEPAlarm,1,3,3
leakCompensationEnable,1,3,3
patientBreathTrigger,1,3,3
powerSupplyChanged,1,3,3
gasSupplyFailure,1,3,3
InhaleTriggerSensitivityPCV,1,3,3
patientChanged,1,3,3
alarmSettingsChanged,1,3,3
startUpDone,1,3,3
ventilatorSettingsChanged,1,3,3
PSVExpiratoryPhaseEnd,1,3,3
PCVExpiratoryPhaseEnd,1,3,3
expiratoryPauseButton,1,3,3
enableLeakCompensation,1,3,3
GUIConnected,1,3,3
GUIFailue,1,3,3
paramMin_V,1,3,3
paramMax_V,1,3,3
MaxP_insp,1,3,3
loadLastParams,1,2,2
"[0,120]",1,2,2
patientAttributesEntered,1,2,2
testLeaksFail,1,2,2
logPreUseCheck,1,2,2
leakCompensationActive,1,2,2
testPowerSwitchFail,1,2,2
breathingTimerReset,1,2,2
ItoE_PCV,1,2,2
breathingCycleTime,1,2,2
RR_PCV,1,2,2
ExpiratoryTime,1,2,2
breathingCyleTime,1,2,2
logPowerSupply,1,2,2
"[0,15]",1,2,2
"[0,16]",1,2,2
testAlarmsFail,1,2,2
logPatientChange,1,2,2
testOxygenSensorFail,1,2,2
initFail,1,2,2
initDone,1,2,2
ventilationParmsAdjustable,1,2,2
ventilationOff,1,2,2
logAlarmSettings,1,2,2
confirmPSVParamters,1,2,2
selfTestFailed,1,2,2
logVentilatorSettings,1,2,2
apneaAlarm,1,2,2
testPSExpFail,1,2,2
RR_AP,1,2,2
RR,1,2,2
P_inspAP,1,2,2
ItoE_AP,1,2,2
ItoE,1,2,2
patientBreathingRequest,1,2,2
breathingCycleDone,1,2,2
startReportingHealthParams,1,2,2
startMonitoring,1,2,2
highPriorityAlarm,1,2,2
initStart,1,2,2
testFl2Fail,1,2,2
paramAlarm_V,1,2,2
inspiratoryPhaseEnd,1,2,2
displayO2_PRC_,1,1,1
measureO2_PRC_,1,1,1
logO2SensorUse,1,1,1
displayRR,1,1,1
measureRR,1,1,1
saveLog,1,1,1
logParams,1,1,1
loadLog,1,1,1
disableLeakCompensation,1,1,1
5.2,1,1,1
GBPS,1,1,1
display,1,1,1
measureFl1,1,1,1
sPCVMode,1,1,1
enterAlarmThresholds,1,1,1
displayTV,1,1,1
measureTV,1,1,1
eraseLog,1,1,1
operator,1,1,1
user,1,1,1
measurePSins,1,1,1
runSelfTest,1,1,1
startPSV,1,1,1
powerOff,1,1,1
startPCV,1,1,1
error,1,1,1
logAlarmParams,1,1,1
logVentilationParams,1,1,1
logCalibrationParams,1,1,1
