serialisation,size,count,shrinking_power
"['&', 'PCVMode', ['X', ['!', 'PCVMode']]]",5,46,230
"['&', 'PSVMode', ['X', ['!', 'PSVMode']]]",5,30,150
"['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]",5,24,120
"['|', ['G', '[0,40]', ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]], ['V', ['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]], ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]]",19,4,76
"['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]",12,6,72
"['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]",9,6,54
"['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]]",5,10,50
"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['!', ['&', 'PCVInspTimeEnd', 'PSVMode']]]",11,4,44
"['V', ['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]], ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]",11,4,44
"['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]",5,8,40
"['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['&', 'outOfServiceWarning', 'FailSafeMode']]",10,4,40
"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], ['&', 'ventilating', 'PSVMode']]",10,4,40
"['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]",5,8,40
"['&', ['!', 'PCVMode'], ['X', 'PCVMode']]",5,7,35
"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']",8,4,32
"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']",8,4,32
"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'apnea']",8,4,32
"['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'RM']",8,4,32
"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'breathingCycleStart']",8,4,32
"['&', 'powerButton', ['&', ['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected'], 'powerConnected']]",10,3,30
"['G', '[0,40]', ['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]]",7,4,28
"['&', ['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected'], 'powerConnected']",8,3,24
"['&', 'inValveClose', 'outValveClose']",3,8,24
"['|', ['>', 'param_V', 'paramMax_V'], ['<', 'param_V', 'paramMin_V']]",7,3,21
"['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]",5,4,20
"['&', ['&', 'expirationPhaseEnd', 'inValveClose'], 'outValveClose']",5,4,20
"['<', 'Fl1', 'ExpiratoryTriggerSensitivity']",3,6,18
"['>=', 'breathingTime', 'apneaLagTime']",3,6,18
"['&', ['&', 'breathingCircuitConnected', ['!', 'patientConnected']], 'airSupplyConnected']",6,3,18
"['<', 'inspiratoryPressure', 'InhaleTriggerSensitivityPSV']",3,6,18
"['|', 'PCVInspiratoryPhaseEnd', 'PSVInspiratoryPhaseEnd']",3,6,18
"['&', ['!', 'PSVMode'], ['X', 'PSVMode']]",5,3,15
"['&', 'expiratoryPauseButton', ['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']]",5,3,15
"['|', 'GUIFailue', ['!', 'GUIConnected']]",4,3,12
"['&', 'expirationPhaseEnd', 'inValveClose']",3,4,12
"['&', 'PCVInspTimeEnd', 'PSVMode']",3,4,12
"['&', 'breathingCircuitConnected', ['!', 'patientConnected']]",4,3,12
"['&', 'outOfServiceWarning', 'FailSafeMode']",3,4,12
"['&', 'ventilating', 'PSVMode']",3,4,12
"['|', 'StartUpMode', 'SelfTestMode']",3,3,9
"['>', 'P_insp', 'MaxP_insp']",3,3,9
"['>', 'param_V', 'paramMax_V']",3,3,9
"['<', 'param_V', 'paramMin_V']",3,3,9
"['|', 'PCVExpiratoryPhaseEnd', 'PSVExpiratoryPhaseEnd']",3,3,9
"['|', 'PSVMode', 'PCVMode']",3,3,9
"['<', 'inspiratoryPressure', 'InhaleTriggerSensitivityPCV']",3,3,9
"['&', 'leakCompensationEnable', 'MinPEEPAlarm']",3,3,9
