reqid,fret,serialisation
FUN26,((G ((! (((! PSVMode) ) & (X PSVMode))) | (X ((((PSVMode ) & (X (! PSVMode))) V (((! (Fl1 < ExpiratoryTriggerSensitivity)) & ((X (Fl1 < ExpiratoryTriggerSensitivity)) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! ((PSVMode ) & (X (! PSVMode)))) U expirationPhaseStart)) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((Fl1 < ExpiratoryTriggerSensitivity) -> ((! ((PSVMode ) & (X (! PSVMode)))) U expirationPhaseStart)))))) & (PSVMode -> ((((PSVMode ) & (X (! PSVMode))) V (((! (Fl1 < ExpiratoryTriggerSensitivity)) & ((X (Fl1 < ExpiratoryTriggerSensitivity)) & (! ((PSVMode ) & (X (! PSVMode)))))) -> ((X ((! ((PSVMode ) & (X (! PSVMode)))) U expirationPhaseStart)) & (! ((PSVMode ) & (X (! PSVMode))))))) & ((Fl1 < ExpiratoryTriggerSensitivity) -> ((! ((PSVMode ) & (X (! PSVMode)))) U expirationPhaseStart))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PSVMode'], ['X', 'PSVMode']]], ['X', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']]]]]], ['->', 'PSVMode', ['&', ['V', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]], ['->', ['&', ['!', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['&', ['X', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']], ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]]]], ['->', ['<', 'Fl1', 'ExpiratoryTriggerSensitivity'], ['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']]]]]"
FUN8_12,(F ((logVentilationParams & logAlarmParams) & logCalibrationParams)),"['F', ['&', ['&', 'logVentilationParams', 'logAlarmParams'], 'logCalibrationParams']]"
FUN30,(F (StartUpMode -> (((newPatient -> ((SelfTestMode & (! newPatient)) -> StandByMode)) & SelfTestMode) -> (((selfTestPassed -> StandByMode) & StandByMode) -> (((startPCV -> ((PCVMode & startPSV) -> ((PSVMode & runSelfTest) -> SelfTestMode))) & error) -> ((FailSafeMode & (powerOff & ((StartUpMode | SelfTestMode) | StandByMode))) -> off)))))),"['F', ['->', 'StartUpMode', ['->', ['&', ['->', 'newPatient', ['->', ['&', 'SelfTestMode', ['!', 'newPatient']], 'StandByMode']], 'SelfTestMode'], ['->', ['&', ['->', 'selfTestPassed', 'StandByMode'], 'StandByMode'], ['->', ['&', ['->', 'startPCV', ['->', ['&', 'PCVMode', 'startPSV'], ['->', ['&', 'PSVMode', 'runSelfTest'], 'SelfTestMode']]], 'error'], ['->', ['&', 'FailSafeMode', ['&', 'powerOff', ['|', ['|', 'StartUpMode', 'SelfTestMode'], 'StandByMode']]], 'off']]]]]]"
FUN23_1,((G ((! (((! PCVMode) ) & (X PCVMode))) | (X ((((PCVMode ) & (X (! PCVMode))) V (((! PSVModeSelected) & ((X PSVModeSelected) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X ((! ((PCVMode ) & (X (! PCVMode)))) U confirmPSVParameters)) & (! ((PCVMode ) & (X (! PCVMode))))))) & (PSVModeSelected -> ((! ((PCVMode ) & (X (! PCVMode)))) U confirmPSVParameters)))))) & (PCVMode -> ((((PCVMode ) & (X (! PCVMode))) V (((! PSVModeSelected) & ((X PSVModeSelected) & (! ((PCVMode ) & (X (! PCVMode)))))) -> ((X ((! ((PCVMode ) & (X (! PCVMode)))) U confirmPSVParameters)) & (! ((PCVMode ) & (X (! PCVMode))))))) & (PSVModeSelected -> ((! ((PCVMode ) & (X (! PCVMode)))) U confirmPSVParameters))))),"['&', ['G', ['|', ['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]], ['X', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']]]]]], ['->', 'PCVMode', ['&', ['V', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]], ['->', ['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]], ['&', ['X', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]], ['->', 'PSVModeSelected', ['U', ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]], 'confirmPSVParameters']]]]]"
FUN40,((G (((! (P_insp > MaxP_insp)) & (X (P_insp > MaxP_insp))) -> (X (F (inspiratoryPhaseEnd & expirationPhaseStart))))) & ((P_insp > MaxP_insp) -> (F (inspiratoryPhaseEnd & expirationPhaseStart)))),"['&', ['G', ['->', ['&', ['!', ['>', 'P_insp', 'MaxP_insp']], ['X', ['>', 'P_insp', 'MaxP_insp']]], ['X', ['F', ['&', 'inspiratoryPhaseEnd', 'expirationPhaseStart']]]]], ['->', ['>', 'P_insp', 'MaxP_insp'], ['F', ['&', 'inspiratoryPhaseEnd', 'expirationPhaseStart']]]]"
FUN8_4,,
FUN38_1,((G (((! ((param_V > paramMax_V) | (param_V < paramMin_V))) & (X ((param_V > paramMax_V) | (param_V < paramMin_V)))) -> (X (F paramAlarm_V)))) & (((param_V > paramMax_V) | (param_V < paramMin_V)) -> (F paramAlarm_V))),"['&', ['G', ['->', ['&', ['!', ['|', ['>', 'param_V', 'paramMax_V'], ['<', 'param_V', 'paramMin_V']]], ['X', ['|', ['>', 'param_V', 'paramMax_V'], ['<', 'param_V', 'paramMin_V']]]], ['X', ['F', 'paramAlarm_V']]]], ['->', ['|', ['>', 'param_V', 'paramMax_V'], ['<', 'param_V', 'paramMin_V']], ['F', 'paramAlarm_V']]]"
FUN6_3,((G ((! (((! SelfTestMode) ) & (X SelfTestMode))) | (X ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U ((testFl2Pass | testFl2Fail) | testFl2Skip))))) & (SelfTestMode -> ((! ((SelfTestMode ) & (X (! SelfTestMode)))) U ((testFl2Pass | testFl2Fail) | testFl2Skip)))),"['&', ['G', ['|', ['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]], ['X', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testFl2Pass', 'testFl2Fail'], 'testFl2Skip']]]]], ['->', 'SelfTestMode', ['U', ['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]], ['|', ['|', 'testFl2Pass', 'testFl2Fail'], 'testFl2Skip']]]]"
FUN15,(F measurePSins),"['F', 'measurePSins']"
FUN5_1,((G ((! (((! StartUpMode) ) & (X StartUpMode))) | (X ((! ((StartUpMode ) & (X (! StartUpMode)))) U initStart)))) & (StartUpMode -> ((! ((StartUpMode ) & (X (! StartUpMode)))) U initStart))),"['&', ['G', ['|', ['!', ['&', ['!', 'StartUpMode'], ['X', 'StartUpMode']]], ['X', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], 'initStart']]]], ['->', 'StartUpMode', ['U', ['!', ['&', 'StartUpMode', ['X', ['!', 'StartUpMode']]]], 'initStart']]]"
