id,serialisation,count
1,PCVMode,121
2,PSVMode,84
3,SelfTestMode,82
4,"['!', 'PCVMode']",53
5,"['&', 'PCVMode', ['X', ['!', 'PCVMode']]]",46
6,"['X', ['!', 'PCVMode']]",46
7,"['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]",38
8,"['!', 'PSVMode']",33
9,"['!', 'SelfTestMode']",32
10,InspiratoryPauseButton,31
11,"['&', 'PSVMode', ['X', ['!', 'PSVMode']]]",30
12,"['X', ['!', 'PSVMode']]",30
13,"['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]]",24
14,"['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]",24
15,"['X', ['!', 'SelfTestMode']]",24
16,"['!', ['&', 'SelfTestMode', ['X', ['!', 'SelfTestMode']]]]",22
17,StartUpMode,20
18,PSVModeSelected,18
19,FailSafeMode,15
20,resumeVentilation,14
21,selfTestPassed,13
22,StandbyMode,12
23,outValveClose,12
24,inValveClose,12
25,"['!', 'InspiratoryPauseButton']",11
26,apnea,10
27,"['&', 'InspiratoryPauseButton', ['X', ['!', 'InspiratoryPauseButton']]]",10
28,"['X', ['!', 'InspiratoryPauseButton']]",10
29,inspiratoryPressure,9
30,off,8
31,"['!', ['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]]",8
32,"['&', ['!', 'SelfTestMode'], ['X', 'SelfTestMode']]",8
33,"['X', 'SelfTestMode']",8
34,ventilating,8
35,"['!', 'resumeVentilation']",8
36,breathingCycleStart,8
37,"['->', 'InspiratoryPauseButton', ['&', 'inValveClose', 'outValveClose']]",8
38,"['&', 'inValveClose', 'outValveClose']",8
39,newPatient,7
40,"['!', ['&', ['!', 'PCVMode'], ['X', 'PCVMode']]]",7
41,"['&', ['!', 'PCVMode'], ['X', 'PCVMode']]",7
42,"['X', 'PCVMode']",7
43,patientSafe,7
44,"['<', 'Fl1', 'ExpiratoryTriggerSensitivity']",6
45,Fl1,6
46,ExpiratoryTriggerSensitivity,6
47,expirationPhaseStart,6
48,"['&', ['!', 'PSVModeSelected'], ['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]]",6
49,confirmPSVParameters,6
50,"['!', 'PSVModeSelected']",6
51,"['&', ['X', 'PSVModeSelected'], ['!', ['&', 'PCVMode', ['X', ['!', 'PCVMode']]]]]",6
52,"['X', 'PSVModeSelected']",6
53,param_V,6
54,testFl2Pass,6
55,"['!', 'StartUpMode']",6
56,testAlarmsPass,6
57,testOxygenSensorPass,6
58,testPSExpPass,6
59,testPowerSwitchPass,6
60,testLeaksPass,6
61,"['>=', 'breathingTime', 'apneaLagTime']",6
62,breathingTime,6
63,apneaLagTime,6
64,outOfServiceWarning,6
65,powerFailure,6
66,RMButton,6
67,"['<', 'inspiratoryPressure', 'InhaleTriggerSensitivityPSV']",6
68,InhaleTriggerSensitivityPSV,6
69,selfTestFail,6
70,"['|', 'PCVInspiratoryPhaseEnd', 'PSVInspiratoryPhaseEnd']",6
71,PCVInspiratoryPhaseEnd,6
72,PSVInspiratoryPhaseEnd,6
73,P_insp,5
74,"['F', 'patientSafe']",5
75,"['!', 'off']",5
76,"['U', ['!', ['&', 'PSVMode', ['X', ['!', 'PSVMode']]]], 'expirationPhaseStart']",4
77,StandByMode,4
